,ar,bg,bn,ca,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,am,am_dupl,hy,sd,hy_dupl,sd_dupl,km,km_dupl,dv,dv_dupl,lo,lo_dupl,ug,ug_dupl
92,122,50,51,94,1.0,66,21.0,98,2284,98,23359,1768,105,35,49,131,1748,48,213,72,14.0,254,20.0,1313,53,301,20.0,33,41,25,37,1.0,4.0,0.0,0.0,249,47,0.0,7.0,275,5.0,224,120,1000,5.0,27,33.0,110,56,26.0,66,66,243,2285,3861,66,100,178,15779,41582,411,2023-01-10,0,0,0,0,0.0,0,2.0,0,12,0,266,3,3,0,0,0,4,0,0,0,0.0,0,0.0,2,0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,2,0,0.0,0,0.0,0,0,0.0,0,0,0,0,91,0,0,19,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,124,47,60,93,0.0,107,12.0,77,3987,131,21268,1521,86,36,55,198,2387,41,201,73,13.0,221,25.0,1763,38,391,21.0,26,37,42,26,4.0,10.0,2.0,2.0,230,56,4.0,8.0,338,2.0,250,99,1219,1.0,36,32.0,175,50,41.0,62,57,419,2532,4042,99,63,90,17990,43031,380,2023-01-23,2,0,0,0,0.0,10,0.0,0,7,0,202,7,0,0,1,5,11,0,0,11,0.0,1,0.0,1,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,5,1,0,0.0,0,0.0,0,0,0.0,0,0,1,0,108,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,87,35,30,70,1.0,245,14.0,66,2924,159,24059,1186,104,48,58,156,1902,25,177,55,14.0,288,23.0,1372,61,345,17.0,26,44,41,41,3.0,3.0,0.0,3.0,283,90,1.0,1.0,376,3.0,219,121,1435,0.0,42,23.0,133,37,23.0,59,49,310,4214,13057,76,109,129,22550,54474,2782,2023-01-14,0,0,0,1,0.0,0,1.0,0,5,0,206,4,0,0,1,0,4,0,0,0,0.0,0,0.0,2,0,8,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,1,3,2533,0,0,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,197,25,39,138,0.0,125,7.0,80,7569,103,50477,42172,76,47,33,130,6004,14,327,78,13.0,477,11.0,3510,30,366,9.0,19,26,23,29,1.0,8.0,3.0,0.0,753,35,2.0,10.0,180,2.0,471,137,763,3.0,23,23.0,71,44,17.0,57,57,1563,873,5933,631,117,83,51637,124017,93537,2023-06-13,80,1,2,85,0.0,73,4.0,34,5847,37,34673,39254,6,7,1,57,4773,0,193,19,1.0,196,0.0,2614,0,139,0.0,0,6,0,7,0.0,0.0,0.0,0.0,502,13,0.0,4.0,53,1.0,208,49,90,0.0,2,0.0,12,5,0.0,9,13,1355,497,2109,457,21,27,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,76,24,19,118,0.0,137,12.0,23,979,276,25511,11254,66,27,10,34,9391,20,83,55,2.0,191,6.0,11500,39,85,16.0,13,21,10,18,3.0,3.0,0.0,0.0,658,29,0.0,0.0,149,0.0,310,175,1359,0.0,16,21.0,35,19,20.0,32,11,155,3640,2163,35,201,53,30740,69103,44558,2023-05-15,30,1,0,71,0.0,60,5.0,0,563,145,13819,9899,17,3,0,3,8506,1,34,10,0.0,32,0.0,9568,0,6,0.0,0,0,0,1,0.0,1.0,0.0,0.0,499,2,0.0,0.0,63,0.0,188,101,184,0.0,1,0.0,2,0,0.0,3,1,43,19,616,12,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,290,84,57,174,0.0,154,26.0,137,13337,197,92570,9240,119,66,127,276,17269,37,441,108,19.0,512,32.0,7027,61,712,16.0,28,61,50,63,6.0,7.0,12.0,28.0,615,88,3.0,3.0,775,1.0,612,178,2562,0.0,38,38.0,163,54,30.0,322,103,1003,4481,8330,204,80,208,78331,163247,112881,2023-03-02,112,23,1,73,0.0,75,5.0,63,9759,92,66318,7129,14,15,78,52,14816,1,205,15,7.0,196,0.0,5298,7,370,0.0,0,9,4,20,0.0,1.0,8.0,22.0,332,37,0.0,0.0,439,0.0,211,67,1285,0.0,1,2.0,61,8,1.0,221,48,718,1778,2693,110,18,62,4.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,71,18,6,57,0.0,40,7.0,10,449,89,16327,6005,30,39,6,14,6803,7,210,23,3.0,167,2.0,3757,12,67,5.0,9,5,4,13,0.0,4.0,0.0,0.0,183,8,0.0,0.0,144,0.0,304,125,503,0.0,10,16.0,21,17,9.0,22,9,291,1916,1176,33,98,31,20954,39176,26155,2023-05-22,36,0,0,34,0.0,8,1.0,1,267,35,9895,5181,2,21,0,0,6319,1,181,4,2.0,76,0.0,3049,0,14,0.0,0,0,0,1,0.0,1.0,0.0,0.0,103,0,0.0,0.0,75,0.0,130,80,20,0.0,0,1.0,1,5,0.0,6,0,220,38,309,23,13,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,327,83,85,477,3.0,302,63.0,185,33052,444,131039,13484,305,78,172,389,20459,72,876,130,55.0,1185,40.0,13611,71,1261,25.0,48,65,72,137,16.0,26.0,13.0,10.0,911,97,13.0,13.0,1442,11.0,1417,321,2034,1.0,47,33.0,277,159,51.0,2881,403,1601,3657,13324,565,177,264,124327,248419,157813,2023-02-25,130,35,4,276,0.0,159,27.0,63,18943,291,89582,9803,62,8,84,174,16676,4,298,15,30.0,104,3.0,10712,6,534,7.0,0,8,24,76,1.0,1.0,10.0,1.0,504,24,2.0,2.0,980,6.0,356,168,1067,0.0,10,3.0,135,46,3.0,236,29,941,1147,3597,235,29,107,7.0,3.0,43.0,0.0,32.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,281,32,45,186,0.0,185,20.0,86,13317,330,96355,11210,146,62,95,733,9057,77,423,101,89.0,342,14.0,5194,68,665,20.0,33,108,40,72,8.0,27.0,11.0,6.0,365,53,4.0,11.0,1616,10.0,477,198,1761,2.0,37,40.0,252,86,54.0,154,176,2475,2495,6276,75,165,168,83154,156398,109816,2023-04-05,143,6,3,79,0.0,99,10.0,10,10545,184,69245,9492,7,5,37,381,7419,8,71,14,73.0,50,0.0,4067,1,372,0.0,0,11,3,34,0.0,6.0,7.0,1.0,176,8,0.0,0.0,1173,4.0,193,75,996,0.0,12,8.0,88,16,0.0,68,20,2148,591,1784,19,26,25,5.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,143,36,39,130,0.0,97,22.0,118,3404,135,24977,2550,120,63,35,143,2221,38,261,88,18.0,322,28.0,17021,58,347,26.0,23,46,33,27,6.0,4.0,0.0,6.0,294,41,4.0,9.0,257,1.0,571,110,1037,1.0,39,40.0,95,76,25.0,56,83,525,2366,5653,154,74,77,31131,64175,796,2023-02-12,0,0,0,2,0.0,9,1.0,0,2,0,627,10,0,0,0,1,4,0,0,0,0.0,0,0.0,11,0,9,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,0.0,6,1,0,0.0,0,0.0,0,0,0.0,0,0,1,0,110,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,135,52,41,77,0.0,87,5.0,90,2809,116,19185,1231,83,48,47,92,1947,35,172,60,7.0,181,28.0,1374,44,297,30.0,27,38,28,31,7.0,5.0,0.0,2.0,240,44,6.0,0.0,267,0.0,253,85,1025,2.0,24,32.0,98,51,22.0,82,46,314,2526,5081,51,81,128,15636,38873,455,2023-02-05,0,0,0,0,0.0,6,0.0,0,15,0,171,6,1,0,0,0,2,0,1,1,0.0,0,0.0,10,0,10,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,1,1,0,0.0,0,0.0,0,0,0.0,0,0,1,0,228,0,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,66,12,5,24,0.0,34,2.0,17,270,143,12432,4992,57,26,20,19,823,1,13,25,3.0,147,6.0,2716,12,24,5.0,1,13,7,5,1.0,0.0,0.0,0.0,40,17,0.0,0.0,136,0.0,164,111,671,0.0,10,10.0,13,8,4.0,49,7,268,1487,949,10,135,36,11762,26046,13877,2023-04-25,39,0,0,9,0.0,11,0.0,0,99,68,5822,4302,18,4,6,5,558,0,0,4,0.0,28,1.0,2093,0,6,0.0,0,3,0,1,0.0,0.0,0.0,0.0,14,0,0.0,0.0,79,0.0,57,73,204,0.0,0,0.0,0,0,0.0,10,0,136,9,172,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,287,50,51,169,0.0,134,31.0,89,8171,305,81008,7083,128,55,1089,287,8590,60,518,70,41.0,612,1149.0,4715,55,557,26.0,37,117,61,80,16.0,16.0,4.0,2.0,553,39,5.0,7.0,700,3.0,541,221,1959,3.0,32,43.0,224,94,46.0,1248,66,863,3520,14017,194,163,123,68847,140338,91866,2023-04-12,162,11,0,64,0.0,67,23.0,17,5903,182,53664,5482,5,3,919,157,6892,5,223,4,29.0,181,1126.0,3546,1,356,0.0,6,6,7,38,2.0,4.0,3.0,0.0,381,8,0.0,0.0,529,1.0,213,104,962,0.0,3,9.0,125,21,2.0,1177,7,567,1564,6962,79,51,10,7.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,249,48,63,212,1.0,252,25.0,186,7059,248,88932,11443,164,57,68,289,8231,78,563,85,15.0,420,20.0,5450,52,621,24.0,43,108,38,66,14.0,33.0,0.0,13.0,347,75,8.0,14.0,527,4.0,571,227,1867,3.0,44,28.0,196,105,39.0,136,142,1003,3202,8957,211,244,174,67063,143312,84721,2023-03-15,71,9,3,84,0.0,155,4.0,63,4292,136,55517,8948,58,2,12,32,6151,4,238,0,1.0,62,0.0,3849,7,295,0.0,1,10,5,39,0.0,18.0,0.0,5.0,88,15,0.0,0.0,311,1.0,252,118,770,1.0,13,2.0,69,16,1.0,60,2,461,786,1511,81,54,32,9.0,5.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,331,75,67,103,0.0,268,22.0,109,10589,282,117296,9024,254,61,112,243,10296,54,436,73,14.0,483,28.0,10337,43,1020,16.0,26,104,108,74,18.0,17.0,41.0,12.0,420,50,8.0,4.0,613,36.0,691,206,2029,2.0,81,22.0,204,74,48.0,530,158,769,4234,10349,272,220,949,92319,184018,127487,2023-03-22,166,19,3,18,0.0,177,0.0,27,7659,119,86052,6600,117,4,49,79,8209,3,118,3,2.0,94,0.0,8278,7,454,0.0,0,8,73,40,3.0,8.0,24.0,1.0,147,4,3.0,0.0,377,18.0,294,85,949,0.0,28,1.0,23,7,0.0,437,74,423,1759,3851,103,74,411,10.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,84,29,27,86,0.0,91,5.0,40,3086,168,39377,5971,62,47,34,77,6246,22,160,45,15.0,213,22.0,2610,48,785,27.0,21,29,81,23,3.0,0.0,0.0,1.0,201,23,0.0,1.0,169,0.0,354,150,563,0.0,26,40.0,48,63,28.0,60,44,160,363,2537,221,123,52,33390,64766,47737,2023-06-04,14,0,2,49,0.0,68,2.0,1,2092,82,30296,5184,8,4,12,27,5459,2,93,7,7.0,47,0.0,1994,0,538,0.0,0,3,59,0,3.0,0.0,0.0,0.0,59,3,0.0,1.0,66,0.0,200,66,75,0.0,1,5.0,8,31,0.0,18,10,56,76,771,202,31,3,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,98,37,58,101,0.0,72,18.0,69,1679,93,22231,1291,123,46,49,98,1845,41,212,60,6.0,253,13.0,965,69,329,25.0,40,31,32,41,7.0,9.0,0.0,4.0,211,34,9.0,19.0,174,4.0,232,121,1080,3.0,31,31.0,94,64,36.0,70,41,189,2528,4252,57,75,140,15552,39544,510,2023-01-03,1,0,0,0,0.0,0,0.0,0,0,0,282,1,1,0,0,1,0,0,2,1,0.0,2,0.0,8,0,10,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,2,2,0.0,0,0.0,0,0,0.0,0,0,1,0,195,0,0,0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,71,28,33,80,0.0,61,13.0,81,2672,101,19874,1343,111,37,53,100,1638,47,228,63,8.0,239,20.0,1061,44,349,28.0,22,39,35,38,3.0,9.0,0.0,2.0,167,36,5.0,18.0,264,2.0,222,99,1083,1.0,35,22.0,78,110,25.0,62,43,205,2312,3637,113,80,200,14304,37351,787,2023-01-07,0,0,0,0,0.0,0,0.0,0,10,2,583,13,0,0,0,0,1,0,3,0,0.0,0,0.0,6,0,9,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,3,1,0,0.0,0,0.0,0,0,0.0,0,0,0,0,112,0,0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,89,46,47,79,0.0,88,3.0,83,3237,161,21587,1340,76,63,60,241,2328,36,204,60,20.0,243,15.0,1866,45,272,24.0,36,34,49,42,6.0,14.0,1.0,4.0,248,45,6.0,8.0,260,4.0,220,106,1069,2.0,28,23.0,117,57,41.0,73,46,334,2333,3910,60,78,137,17089,41704,284,2023-01-30,0,0,0,0,0.0,9,0.0,0,5,0,125,5,1,0,0,1,2,0,0,0,0.0,1,0.0,2,0,5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,5,1,1,0.0,0,0.0,0,0,0.0,0,3,1,0,116,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,181,45,60,95,1.0,115,16.0,104,3156,150,25912,2115,117,41,69,176,2283,67,524,67,13.0,486,18.0,2131,59,450,45.0,47,32,31,35,21.0,20.0,1.0,11.0,283,46,11.0,10.0,372,8.0,355,138,1324,3.0,25,28.0,95,106,54.0,115,108,520,2322,4960,193,81,118,22015,49975,300,2023-01-18,0,0,0,0,0.0,8,0.0,0,3,1,146,18,1,0,0,0,3,0,4,0,0.0,0,0.0,5,0,5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,4,2,2,0.0,0,0.0,0,0,0.0,1,0,0,1,95,0,0,0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,5,6,6,9,0.0,30,2.0,2,112,14,1949,4358,7,12,2,3,352,1,18,7,1.0,30,4.0,690,5,20,2.0,1,4,1,5,3.0,0.0,0.0,1.0,21,2,0.0,0.0,29,0.0,50,12,391,0.0,7,5.0,12,4,5.0,26,4,22,1496,331,14,5,17,5876,10118,6247,2023-05-31,1,1,0,1,0.0,8,0.0,0,36,7,1147,4055,0,6,0,0,291,0,10,0,1.0,9,0.0,541,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0.0,5,0,0.0,0.0,0,0.0,32,1,5,0.0,2,0.0,5,0,0.0,6,0,2,4,56,9,0,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,177,55,43,233,0.0,194,21.0,89,5819,285,67837,6320,210,53,56,350,9261,38,284,71,16.0,404,24.0,4401,57,860,27.0,27,45,50,64,5.0,11.0,6.0,10.0,335,63,6.0,3.0,371,6.0,539,367,1597,2.0,39,43.0,122,91,44.0,218,62,495,2821,6667,111,199,108,49734,111719,72310,2023-03-11,69,15,2,88,0.0,114,6.0,30,3828,167,45514,5041,96,6,5,164,7454,0,111,13,3.0,120,0.0,3290,4,603,2.0,4,4,12,41,0.0,2.0,4.0,0.0,180,21,0.0,0.0,172,3.0,263,258,655,0.0,7,12.0,28,34,0.0,150,6,318,839,2386,66,67,31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
114,194,45,51,193,1.0,163,22.0,135,6910,295,82839,7743,400,50,153,266,10364,31,377,53,7.0,544,26.0,6641,56,1045,25.0,25,77,39,33,13.0,10.0,8.0,10.0,219,55,3.0,13.0,364,4.0,589,246,1813,0.0,63,33.0,119,68,40.0,116,124,633,2713,6505,163,259,134,62930,133130,90665,2023-03-26,88,10,2,99,0.0,101,8.0,38,4733,173,58616,6173,297,1,87,122,8742,0,141,1,1.0,225,1.0,5321,0,653,0.0,0,9,3,7,1.0,5.0,5.0,0.0,36,8,0.0,0.0,188,3.0,243,137,1041,0.0,10,5.0,17,1,1.0,39,29,361,655,2033,67,112,12,7.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,131,31,31,304,0.0,147,29.0,98,5887,273,66775,5625,146,42,40,244,6635,37,355,72,18.0,290,27.0,3521,55,529,20.0,26,107,44,46,7.0,3.0,0.0,3.0,253,48,4.0,4.0,390,3.0,645,80,1537,2.0,33,24.0,163,35,30.0,173,51,264,2506,4645,74,210,153,52081,102929,72463,2023-04-09,46,0,1,233,0.0,91,18.0,9,4178,173,50154,4433,18,0,3,138,5498,0,224,1,9.0,65,1.0,2761,1,307,0.0,0,9,4,21,1.0,0.0,0.0,2.0,101,9,0.0,0.0,284,2.0,390,20,781,0.0,2,0.0,79,8,0.0,119,5,96,672,1351,36,89,20,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,60,22,23,123,0.0,110,9.0,52,1588,167,17914,9940,95,31,38,31,1363,33,106,58,4.0,196,15.0,1981,34,129,17.0,22,28,25,26,6.0,2.0,0.0,1.0,179,37,0.0,2.0,76,1.0,220,96,976,0.0,16,24.0,55,30,14.0,51,36,101,1609,2442,25,167,56,17835,40466,14853,2023-04-21,7,0,0,52,0.0,34,0.0,1,314,55,3332,8811,5,0,0,0,426,0,4,4,0.0,15,0.0,1222,0,1,0.0,0,0,0,1,0.0,0.0,0.0,0.0,72,0,0.0,0.0,11,0.0,33,10,145,0.0,3,0.0,1,0,0.0,9,1,15,7,224,4,34,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,116,45,45,68,0.0,97,10.0,94,3040,145,21954,1435,80,39,30,146,2314,20,137,76,19.0,265,14.0,1734,54,308,23.0,23,44,68,41,2.0,4.0,1.0,4.0,232,51,0.0,0.0,307,0.0,269,97,1073,0.0,35,30.0,175,41,20.0,118,82,320,2780,4964,82,63,104,17910,43342,625,2023-02-01,0,0,0,0,0.0,9,0.0,0,8,0,261,8,0,0,0,0,3,0,0,0,0.0,1,0.0,4,0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,1,0.0,0,0.0,0,0,0.0,0,1,1,1,318,0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,219,55,29,215,0.0,161,17.0,60,7003,236,63693,6547,130,60,55,418,6570,22,100,76,15.0,288,33.0,6036,53,684,23.0,27,91,30,48,4.0,2.0,0.0,0.0,376,79,1.0,6.0,499,2.0,633,181,1817,2.0,61,27.0,72,57,37.0,87,59,234,2844,7334,65,195,141,49751,107823,72104,2023-04-16,126,25,0,123,0.0,79,4.0,10,5136,127,44739,4329,36,0,3,265,5293,0,24,5,8.0,35,0.0,4994,1,411,0.0,0,8,1,16,0.0,0.0,0.0,0.0,193,50,0.0,2.0,333,0.0,261,75,1071,1.0,25,4.0,6,14,0.0,36,19,114,1074,2938,15,59,9,12.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,387,36,43,125,0.0,101,10.0,78,3793,140,25414,1756,98,42,64,186,2946,52,266,83,17.0,806,34.0,1786,47,388,23.0,29,46,39,35,7.0,7.0,0.0,6.0,264,61,3.0,17.0,255,3.0,337,100,984,0.0,30,30.0,142,48,18.0,70,72,282,2256,6400,146,118,208,20107,50743,595,2023-02-19,39,0,0,0,0.0,9,0.0,0,6,0,261,11,1,0,0,0,3,0,0,0,0.0,0,0.0,0,0,5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,4,1,0,0.0,0,0.0,0,0,0.0,0,0,1,0,253,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,305,79,73,142,0.0,320,20.0,137,6809,192,91147,8639,270,43,109,241,8653,64,539,89,17.0,435,20.0,5364,53,715,27.0,31,130,45,62,15.0,39.0,2.0,3.0,223,82,5.0,26.0,654,3.0,524,578,2935,4.0,84,36.0,136,105,42.0,138,102,1564,2817,8086,452,194,123,67110,143761,91627,2023-03-16,129,22,6,49,0.0,226,3.0,59,4361,80,60211,6792,152,1,43,48,6707,7,167,5,2.0,70,0.0,4073,4,339,1.0,0,8,12,15,0.0,17.0,0.0,0.0,78,12,0.0,0.0,447,0.0,268,466,1937,2.0,44,0.0,23,32,2.0,52,8,1028,889,2487,149,67,15,14.0,11.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
121,323,57,56,295,0.0,398,13.0,100,9772,358,108502,11249,385,45,97,241,10632,80,1174,110,33.0,650,31.0,11110,55,1970,28.0,40,82,34,69,13.0,33.0,53.0,17.0,456,75,4.0,17.0,781,58.0,768,358,2118,5.0,44,29.0,145,101,42.0,217,264,1560,3313,7621,1475,208,1706,86952,179487,117478,2023-03-21,80,10,1,170,0.0,312,3.0,29,6826,199,74041,8449,233,4,27,77,8529,2,286,24,19.0,109,2.0,8902,0,1352,4.0,1,14,7,34,0.0,8.0,43.0,3.0,185,14,0.0,3.0,505,16.0,270,193,1095,1.0,9,1.0,35,15,5.0,134,59,742,1214,1867,121,60,1127,8.0,4.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,15,10,15,13,0.0,42,3.0,12,136,29,4935,3996,34,18,8,10,3146,4,23,18,4.0,65,8.0,1985,12,50,9.0,3,11,10,5,0.0,0.0,0.0,0.0,41,12,0.0,0.0,84,0.0,122,70,451,0.0,3,10.0,5,6,4.0,21,11,96,1680,613,5,43,24,10694,17930,11546,2023-05-29,2,0,1,4,0.0,10,0.0,2,45,7,3077,3435,4,3,0,0,2966,0,5,6,0.0,6,0.0,1585,0,9,0.0,0,1,2,0,0.0,0.0,0.0,0.0,11,0,0.0,0.0,64,0.0,19,34,30,0.0,0,0.0,0,0,0.0,4,2,41,23,134,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
